"Period","Group","Sender","datetime","Time","ClientTime","Key","action","action_owntype","action_partnertype","exit","repeataction_owntype","repeataction_partnertype"
1,1,"10","2016-04-08 12:05:48.421",1460142348420935424,1460142315563,"exit",NA,NA,NA,"10",NA,NA
1,1,"11","2016-04-08 12:05:48.421",1460142348421163008,1460142315568,"exit",NA,NA,NA,"11",NA,NA
1,1,"5","2016-04-08 12:05:48.421",1460142348421354496,1460142315561,"exit",NA,NA,NA,"5",NA,NA
1,1,"3","2016-04-08 12:05:48.422",1460142348421558272,1460142315566,"exit",NA,NA,NA,"3",NA,NA
1,1,"4","2016-04-08 12:05:48.507",1460142348506697728,1460142315646,"exit",NA,NA,NA,"4",NA,NA
1,1,"2","2016-04-08 12:05:48.626",1460142348626473216,1460142315775,"action","1",NA,NA,NA,NA,NA
1,1,"2","2016-04-08 12:05:48.627",1460142348626651648,1460142315775,"action_owntype",NA,"3",NA,NA,NA,NA
1,1,"2","2016-04-08 12:05:48.630",1460142348629839104,1460142315775,"action_partnertype",NA,NA,"3",NA,NA,NA
2,1,"1","2016-04-08 12:06:15.562",1460142375561783808,1460142342704,"action","2",NA,NA,NA,NA,NA
2,1,"1","2016-04-08 12:06:15.562",1460142375562078208,1460142342705,"action_owntype",NA,"1",NA,NA,NA,NA
2,1,"1","2016-04-08 12:06:15.562",1460142375562335488,1460142342705,"action_partnertype",NA,NA,"3",NA,NA,NA
2,1,"2","2016-04-08 12:06:16.905",1460142376904806912,1460142344048,"action","2",NA,NA,NA,NA,NA
2,1,"2","2016-04-08 12:06:16.905",1460142376905016320,1460142344048,"action_owntype",NA,"1",NA,NA,NA,NA
2,1,"2","2016-04-08 12:06:16.905",1460142376905242368,1460142344048,"action_partnertype",NA,NA,"3",NA,NA,NA
2,1,"3","2016-04-08 12:06:18.093",1460142378093208576,1460142345238,"action","1",NA,NA,NA,NA,NA
2,1,"3","2016-04-08 12:06:18.094",1460142378093509376,1460142345238,"action_owntype",NA,"3",NA,NA,NA,NA
2,1,"3","2016-04-08 12:06:18.094",1460142378093760000,1460142345238,"action_partnertype",NA,NA,"1",NA,NA,NA
2,1,"4","2016-04-08 12:06:21.756",1460142381755584000,1460142348900,"action","1",NA,NA,NA,NA,NA
2,1,"4","2016-04-08 12:06:21.756",1460142381755811840,1460142348900,"action_owntype",NA,"2",NA,NA,NA,NA
2,1,"4","2016-04-08 12:06:21.756",1460142381756029184,1460142348901,"action_partnertype",NA,NA,"1",NA,NA,NA
2,1,"5","2016-04-08 12:06:46.666",1460142406665736448,1460142373809,"action","1",NA,NA,NA,NA,NA
2,1,"5","2016-04-08 12:06:46.666",1460142406665966848,1460142373809,"action_owntype",NA,"1",NA,NA,NA,NA
2,1,"5","2016-04-08 12:06:46.666",1460142406666209280,1460142373809,"action_partnertype",NA,NA,"1",NA,NA,NA
2,1,"6","2016-04-08 12:06:48.530",1460142408530340352,1460142375674,"action","1",NA,NA,NA,NA,NA
2,1,"6","2016-04-08 12:06:48.531",1460142408530553600,1460142375675,"action_owntype",NA,"3",NA,NA,NA,NA
2,1,"6","2016-04-08 12:06:48.535",1460142408534640128,1460142375675,"action_partnertype",NA,NA,"2",NA,NA,NA
2,1,"7","2016-04-08 12:06:49.559",1460142409558641920,1460142376703,"action","1",NA,NA,NA,NA,NA
2,1,"7","2016-04-08 12:06:49.563",1460142409563390464,1460142376703,"action_owntype",NA,"1",NA,NA,NA,NA
2,1,"7","2016-04-08 12:06:49.564",1460142409563593216,1460142376703,"action_partnertype",NA,NA,"1",NA,NA,NA
2,1,"8","2016-04-08 12:06:50.663",1460142410662820096,1460142377807,"action","1",NA,NA,NA,NA,NA
2,1,"8","2016-04-08 12:06:50.663",1460142410663033088,1460142377807,"action_owntype",NA,"1",NA,NA,NA,NA
2,1,"8","2016-04-08 12:06:50.663",1460142410663269120,1460142377807,"action_partnertype",NA,NA,"2",NA,NA,NA
2,1,"9","2016-04-08 12:06:51.933",1460142411933307136,1460142379077,"action","2",NA,NA,NA,NA,NA
2,1,"9","2016-04-08 12:06:51.934",1460142411933538304,1460142379077,"action_owntype",NA,"2",NA,NA,NA,NA
2,1,"9","2016-04-08 12:06:51.934",1460142411933783040,1460142379077,"action_partnertype",NA,NA,"3",NA,NA,NA
2,1,"10","2016-04-08 12:06:53.102",1460142413101762304,1460142380243,"action","1",NA,NA,NA,NA,NA
2,1,"10","2016-04-08 12:06:53.102",1460142413101983232,1460142380243,"action_owntype",NA,"3",NA,NA,NA,NA
2,1,"10","2016-04-08 12:06:53.102",1460142413102207488,1460142380243,"action_partnertype",NA,NA,"1",NA,NA,NA
2,1,"11","2016-04-08 12:06:54.699",1460142414698992384,1460142381840,"action","2",NA,NA,NA,NA,NA
2,1,"11","2016-04-08 12:06:54.699",1460142414699209216,1460142381840,"action_owntype",NA,"1",NA,NA,NA,NA
2,1,"11","2016-04-08 12:06:54.699",1460142414699446016,1460142381841,"action_partnertype",NA,NA,"3",NA,NA,NA
2,1,"12","2016-04-08 12:06:56.315",1460142416315045888,1460142383456,"action","1",NA,NA,NA,NA,NA
2,1,"12","2016-04-08 12:06:56.315",1460142416315259136,1460142383456,"action_owntype",NA,"3",NA,NA,NA,NA
2,1,"12","2016-04-08 12:06:56.315",1460142416315491584,1460142383456,"action_partnertype",NA,NA,"1",NA,NA,NA
2,1,"8","2016-04-08 12:06:57.899",1460142417899157248,1460142385032,"exit",NA,NA,NA,"8",NA,NA
