"Period","Group","datetime","Key","action","id","rank","payoff","Time","ClientTime","Sender"
4,1,"2016-04-06 11:35:37.105","state",7.13,1,2,950.666666666667,1459967737104927488,1459967717330,"2"
5,1,"2016-04-06 11:35:50.718","state",0,0,1.5,0,1459967750718189824,1459967730948,"2"
5,1,"2016-04-06 11:35:50.718","state",0,1,1.5,0,1459967750718189824,1459967730948,"2"
5,1,"2016-04-06 11:35:57.506","state",7.42,1,1,494.666666666667,1459967757506017024,1459967737731,"2"
5,1,"2016-04-06 11:35:57.506","state",3.6,0,2,480,1459967757506017024,1459967737731,"2"
5,1,"2016-04-06 11:36:04.344","state",7.42,1,1,494.666666666667,1459967764344082944,1459967744569,"2"
5,1,"2016-04-06 11:36:04.344","state",7.34,0,2,978.666666666667,1459967764344082944,1459967744569,"2"
5,1,"2016-04-06 11:36:11.183","state",7.42,1,1,494.666666666667,1459967771183157760,1459967751408,"2"
5,1,"2016-04-06 11:36:11.183","state",7.36,0,2,981.333333333333,1459967771183157760,1459967751408,"2"
5,1,"2016-04-06 11:36:18.172","state",7.42,1,1,494.666666666667,1459967778171609088,1459967758396,"2"
5,1,"2016-04-06 11:36:18.172","state",7.36,0,2,981.333333333333,1459967778171609088,1459967758396,"2"
5,1,"2016-04-06 11:36:24.978","state",9.18,1,1,612,1459967784977813248,1459967765201,"2"
5,1,"2016-04-06 11:36:24.978","state",7.36,0,2,981.333333333333,1459967784977813248,1459967765201,"2"
