"Period","Group","Sender","datetime","Time","ClientTime","Key","actions.1","actions.2","action","id","rank","payoff","targets.1","targets.2"
3,1,"2","2016-04-06 11:34:17.839",1459967657839426816,1459967638078,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.840",1459967657839647488,1459967638078,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:17.840",1459967657839806720,1459967638078,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:17.957",1459967657956520448,1459967638195,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.957",1459967657956520448,1459967638195,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.957",1459967657956705024,1459967638195,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:17.957",1459967657956870144,1459967638195,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:18.073",1459967658073373440,1459967638311,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:18.073",1459967658073373440,1459967638311,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:18.074",1459967658073577472,1459967638311,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:18.074",1459967658073739264,1459967638311,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:18.189",1459967658188921088,1459967638429,"state",NA,NA,0.6,1,1,40,NA,NA
3,1,"2","2016-04-06 11:34:18.189",1459967658188921088,1459967638429,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:18.189",1459967658189138176,1459967638429,"actions",0,0.3,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:18.189",1459967658189301504,1459967638429,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:18.307",1459967658306646016,1459967638545,"state",NA,NA,0.9,1,1,60,NA,NA
3,1,"2","2016-04-06 11:34:18.307",1459967658306646016,1459967638545,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:18.307",1459967658306861568,1459967638545,"actions",0,0.6,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:18.307",1459967658307025920,1459967638545,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:18.424",1459967658424334080,1459967638663,"state",NA,NA,1.2,1,1,80,NA,NA
3,1,"2","2016-04-06 11:34:18.424",1459967658424334080,1459967638663,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:18.425",1459967658424550656,1459967638663,"actions",0,0.9,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:18.425",1459967658424714752,1459967638663,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:18.540",1459967658540087552,1459967638779,"state",NA,NA,1.5,1,1,100,NA,NA
3,1,"2","2016-04-06 11:34:18.540",1459967658540087552,1459967638779,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:18.540",1459967658540294400,1459967638779,"actions",0,1.2,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:18.540",1459967658540464128,1459967638779,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:18.648",1459967658648104448,1459967638881,"state",NA,NA,1.8,1,1,120,NA,NA
3,1,"2","2016-04-06 11:34:18.648",1459967658648104448,1459967638881,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:18.648",1459967658648305664,1459967638881,"actions",0,1.5,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:18.648",1459967658648478976,1459967638881,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:18.758",1459967658758052608,1459967638997,"state",NA,NA,2.1,1,1,140,NA,NA
3,1,"2","2016-04-06 11:34:18.758",1459967658758052608,1459967638997,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:18.758",1459967658758254080,1459967638997,"actions",0,1.8,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:18.758",1459967658758416896,1459967638997,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:18.875",1459967658875254016,1459967639111,"state",NA,NA,2.4,1,1,160,NA,NA
3,1,"2","2016-04-06 11:34:18.875",1459967658875254016,1459967639111,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:18.875",1459967658875463168,1459967639111,"actions",0,2.1,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:18.876",1459967658875634176,1459967639111,"targets",NA,NA,NA,NA,NA,NA,0,6.91
