"Period","Sender","Round","x","y","Price","Ex","Ey"
19,"6",1,34.8909090909091,41.1090909090909,"1","0","76"
19,"7",1,52,48,"1","100","0"
19,"8",1,34.6836363636364,41.3163636363636,"1","0","76"
19,"9",1,47.0909090909091,52.9090909090909,"1","100","0"
2,"1",1,38.9090909090909,39.0981818181818,"0.64","100","0"
2,"10",1,58.1818181818182,26.7636363636364,"0.64","100","0"
2,"11",1,62.0909090909091,24.2618181818182,"0.64","100","0"
2,"12",1,55.9090909090909,28.2181818181818,"0.64","100","0"
2,"13",1,61.8181818181818,24.4363636363636,"0.64","100","0"
2,"14",1,64,23.04,"0.64","100","0"
2,"15",1,69.6363636363636,19.4327272727273,"0.64","100","0"
2,"16",1,73.5454545454545,16.9309090909091,"0.64","100","0"
2,"17",1,86.3636363636364,8.72727272727273,"0.64","100","0"
2,"18",1,85.2727272727273,9.42545454545454,"0.64","100","0"
2,"19",1,82.5454545454545,11.1709090909091,"0.64","100","0"
2,"2",1,39.1818181818182,38.9236363636364,"0.64","100","0"
2,"20",1,89.0909090909091,6.98181818181818,"0.64","100","0"
2,"3",1,36.5454545454545,40.6109090909091,"0.64","100","0"
2,"4",1,36.5454545454545,40.6109090909091,"0.64","100","0"
2,"5",1,39.6363636363636,38.6327272727273,"0.64","100","0"
2,"6",1,44.2727272727273,35.6654545454545,"0.64","100","0"
2,"7",1,52.7272727272727,30.2545454545455,"0.64","100","0"
2,"8",1,58.9090909090909,26.2981818181818,"0.64","100","0"
2,"9",1,61.8181818181818,24.4363636363636,"0.64","100","0"
20,"1",1,30.3636363636364,29.9436363636364,"0.43","100","0"
20,"10",1,76.4820295983087,43.1127272727273,"0.43","0","76"
20,"11",1,46.2727272727273,23.1027272727273,"0.43","100","0"
20,"12",1,78.2494714587738,42.3527272727273,"0.43","0","76"
20,"13",1,42,24.94,"0.43","100","0"
20,"14",1,110.224101479915,28.6036363636364,"0.43","0","76"
20,"15",1,58.7272727272727,17.7472727272727,"0.43","100","0"
20,"16",1,112.31289640592,27.7054545454545,"0.43","0","76"
20,"17",1,65.4545454545455,14.8545454545455,"0.43","100","0"
20,"18",1,135.289640591966,17.8254545454545,"0.43","0","76"
20,"19",1,100,0,"0.43","100","0"
20,"2",1,45.7928118393235,56.3090909090909,"0.43","0","76"
20,"20",1,171.281183932347,2.3490909090909,"0.43","0","76"
20,"3",1,100,0,"0.43","100","0"
20,"4",1,49.1670190274841,54.8581818181818,"0.43","0","76"
20,"5",1,36.3636363636364,27.3636363636364,"0.43","100","0"
20,"6",1,61.53911205074,49.5381818181818,"0.43","0","76"
20,"7",1,42.1818181818182,24.8618181818182,"0.43","100","0"
20,"8",1,67.1627906976744,47.12,"0.43","0","76"
20,"9",1,44.5454545454545,23.8454545454545,"0.43","100","0"
21,"1",1,49.4545454545455,44.9854545454545,"0.89","100","0"
21,"10",1,40.8335035750766,39.6581818181818,"0.89","0","76"
21,"11",1,51.1818181818182,43.4481818181818,"0.89","100","0"
21,"12",1,54.1082737487232,27.8436363636364,"0.89","0","76"
21,"13",1,60,35.6,"0.89","100","0"
21,"14",1,56.0490296220633,26.1163636363636,"0.89","0","76"
21,"15",1,67.0909090909091,29.2890909090909,"0.89","100","0"
21,"16",1,67.6159346271706,15.8218181818182,"0.89","0","76"
21,"17",1,81.8181818181818,16.1818181818182,"0.89","100","0"
21,"18",1,62.2594484167518,20.5890909090909,"0.89","0","76"
21,"19",1,100,0,"0.89","100","0"
21,"2",1,41.5321756894791,39.0363636363636,"0.89","0","76"
21,"20",1,85.3932584269663,0,"0.89","0","76"
21,"3",1,47.6363636363636,46.6036363636364,"0.89","100","0"
21,"4",1,40.8335035750766,39.6581818181818,"0.89","0","76"
21,"5",1,51.0909090909091,43.5290909090909,"0.89","100","0"
21,"6",1,42.7742594484167,37.9309090909091,"0.89","0","76"
21,"7",1,56,39.16,"0.89","100","0"
21,"8",1,47.0439223697651,34.1309090909091,"0.89","0","76"
21,"9",1,52.5454545454546,42.2345454545454,"0.89","100","0"
22,"1",1,62.2290909090909,59.3003272727273,"1.57","100","0"
22,"10",1,24.7345454545455,37.1667636363636,"1.57","0","76"
22,"11",1,45.8154545454545,85.0697363636364,"1.57","100","0"
22,"12",1,19.6909090909091,45.0852727272727,"1.57","0","76"
22,"13",1,37.3945454545455,98.2905636363636,"1.57","100","0"
22,"14",1,14.5090909090909,53.2207272727273,"1.57","0","76"
22,"15",1,27.6890909090909,113.528127272727,"1.57","100","0"
22,"16",1,10.8472727272727,58.9697818181818,"1.57","0","76"
22,"17",1,26.5472727272727,115.320781818182,"1.57","100","0"
22,"18",1,0,76,"1.57","0","76"
22,"19",1,16.2709090909091,131.454672727273,"1.57","100","0"
22,"2",1,28.8109090909091,30.7668727272727,"1.57","0","76"
22,"20",1,0,76,"1.57","0","76"
22,"3",1,61.0872727272727,61.0929818181818,"1.57","100","0"
22,"4",1,28.4654545454545,31.3092363636364,"1.57","0","76"
22,"5",1,56.2345454545454,68.7117636363637,"1.57","100","0"
22,"6",1,27.7054545454545,32.5024363636364,"1.57","0","76"
22,"7",1,58.8036363636364,64.6782909090909,"1.57","100","0"
22,"8",1,25.9781818181818,35.2142545454545,"1.57","0","76"
22,"9",1,50.8109090909091,77.2268727272727,"1.57","100","0"
23,"1",1,54.34,55.2486,"1.21","100","0"
23,"10",1,27.9127272727273,42.2256,"1.21","0","76"
23,"11",1,37.73,75.3467,"1.21","100","0"
23,"12",1,25.3563636363636,45.3188,"1.21","0","76"
23,"13",1,35.86,77.6094,"1.21","100","0"
23,"14",1,23.2145454545455,47.9104,"1.21","0","76"
23,"15",1,38.5,74.415,"1.21","100","0"
23,"16",1,19.1381818181818,52.8428,"1.21","0","76"
23,"17",1,19.36,97.5744,"1.21","100","0"
23,"18",1,0,76,"1.21","0","76"
23,"19",1,16.06,101.5674,"1.21","100","0"
23,"2",1,34.3381818181818,34.4508,"1.21","0","76"
23,"20",1,0,76,"1.21","0","76"
23,"3",1,53.24,56.5796,"1.21","100","0"
23,"4",1,33.7163636363636,35.2032,"1.21","0","76"
23,"5",1,48.62,62.1698,"1.21","100","0"
23,"6",1,31.8509090909091,37.4604,"1.21","0","76"
23,"7",1,45.98,65.3642,"1.21","100","0"
23,"8",1,32.1963636363636,37.0424,"1.21","0","76"
23,"9",1,46.42,64.8318,"1.21","100","0"
24,"1",1,48.1818181818182,48.7090909090909,"0.94","100","0"
24,"10",1,47.1876208897486,31.6436363636364,"0.94","0","76"
24,"11",1,58.0909090909091,39.3945454545455,"0.94","100","0"
24,"12",1,46.5261121856867,32.2654545454545,"0.94","0","76"
24,"13",1,64.9090909090909,32.9854545454545,"0.94","100","0"
24,"14",1,46.0116054158607,32.7490909090909,"0.94","0","76"
24,"15",1,62.9090909090909,34.8654545454545,"0.94","100","0"
24,"16",1,53.1411992263056,26.0472727272727,"0.94","0","76"
24,"17",1,62.1818181818182,35.5490909090909,"0.94","100","0"
24,"18",1,49.0986460348162,29.8472727272727,"0.94","0","76"
24,"19",1,65.4545454545455,32.4727272727273,"0.94","100","0"
24,"2",1,37.5589941972921,40.6945454545455,"0.94","0","76"
24,"20",1,50.715667311412,28.3272727272727,"0.94","0","76"
24,"3",1,48,48.88,"0.94","100","0"
24,"4",1,38.220502901354,40.0727272727273,"0.94","0","76"
24,"5",1,46.3636363636364,50.4181818181818,"0.94","100","0"
24,"6",1,39.7640232108317,38.6218181818182,"0.94","0","76"
24,"7",1,49.0909090909091,47.8545454545455,"0.94","100","0"
24,"8",1,42.3365570599613,36.2036363636364,"0.94","0","76"
24,"9",1,50.1818181818182,46.8290909090909,"0.94","100","0"
25,"1",1,34.3636363636364,32.8181818181818,"0.5","100","0"
25,"10",1,85.6727272727273,33.1636363636364,"0.5","0","76"
25,"11",1,50.8181818181818,24.5909090909091,"0.5","100","0"
25,"12",1,87.7454545454545,32.1272727272727,"0.5","0","76"
25,"13",1,58.7272727272727,20.6363636363636,"0.5","100","0"
25,"14",1,106.952727272727,22.5236363636364,"0.5","0","76"
25,"15",1,66.5454545454545,16.7272727272727,"0.5","100","0"
25,"16",1,116.487272727273,17.7563636363636,"0.5","0","76"
25,"17",1,84.9090909090909,7.54545454545455,"0.5","100","0"
25,"18",1,136.523636363636,7.73818181818181,"0.5","0","76"
25,"19",1,100,0,"0.5","100","0"
25,"2",1,48.7781818181818,51.6109090909091,"0.5","0","76"
25,"20",1,150.618181818182,0.690909090909088,"0.5","0","76"
25,"3",1,38.5454545454545,30.7272727272727,"0.5","100","0"
25,"4",1,54.1672727272727,48.9163636363636,"0.5","0","76"
25,"5",1,35.2727272727273,32.3636363636364,"0.5","100","0"
25,"6",1,58.7272727272727,46.6363636363636,"0.5","0","76"
25,"7",1,35.4545454545455,32.2727272727273,"0.5","100","0"
25,"8",1,65.7745454545455,43.1127272727273,"0.5","0","76"
25,"9",1,48.7272727272727,25.6363636363636,"0.5","100","0"
26,"1",1,79.1890909090909,74.2949454545455,"3.57","100","0"
26,"10",1,12.7127272727273,30.6155636363636,"3.57","0","76"
26,"11",1,65.8827272727273,121.798663636364,"3.57","100","0"
26,"12",1,11.8145454545455,33.8220727272727,"3.57","0","76"
26,"13",1,49.3309090909091,180.888654545455,"3.57","100","0"
26,"14",1,10.5018181818182,38.5085090909091,"3.57","0","76"
26,"15",1,40.8927272727273,211.012963636364,"3.57","100","0"
26,"16",1,6.42545454545455,53.0611272727273,"3.57","0","76"
26,"17",1,35.0509090909091,231.868254545455,"3.57","100","0"
26,"18",1,0,76,"3.57","0","76"
26,"19",1,17.5254545454545,294.434127272727,"3.57","100","0"
26,"2",1,16.6509090909091,16.5562545454545,"3.57","0","76"
26,"20",1,0,76,"3.57","0","76"
26,"3",1,75.9436363636364,85.8812181818181,"3.57","100","0"
26,"4",1,16.3054545454545,17.7895272727273,"3.57","0","76"
26,"5",1,77.2418181818182,81.2467090909091,"3.57","100","0"
26,"6",1,15.8218181818182,19.5161090909091,"3.57","0","76"
26,"7",1,72.0490909090909,99.7847454545455,"3.57","100","0"
26,"8",1,13.4036363636364,28.1490181818182,"3.57","0","76"
26,"9",1,62.3127272727273,134.543563636364,"3.57","100","0"
27,"1",1,43.8181818181818,42.6981818181818,"0.76","100","0"
27,"10",1,53.4545454545455,35.3745454545455,"0.76","0","76"
27,"11",1,55,34.2,"0.76","100","0"
27,"12",1,64.8181818181818,26.7381818181818,"0.76","0","76"
27,"13",1,64.5454545454545,26.9454545454545,"0.76","100","0"
27,"14",1,62.7272727272727,28.3272727272727,"0.76","0","76"
27,"15",1,64.9090909090909,26.6690909090909,"0.76","100","0"
27,"16",1,69.9090909090909,22.8690909090909,"0.76","0","76"
27,"17",1,75.4545454545455,18.6545454545455,"0.76","100","0"
27,"18",1,75.4545454545455,18.6545454545455,"0.76","0","76"
27,"19",1,65.8181818181818,25.9781818181818,"0.76","100","0"
27,"2",1,40.8181818181818,44.9781818181818,"0.76","0","76"
27,"20",1,72.7272727272727,20.7272727272727,"0.76","0","76"
27,"3",1,42.1818181818182,43.9418181818182,"0.76","100","0"
27,"4",1,42.9090909090909,43.3890909090909,"0.76","0","76"
27,"5",1,42.1818181818182,43.9418181818182,"0.76","100","0"
27,"6",1,44.4545454545455,42.2145454545455,"0.76","0","76"
27,"7",1,46.1818181818182,40.9018181818182,"0.76","100","0"
27,"8",1,49.6363636363636,38.2763636363636,"0.76","0","76"
27,"9",1,50,38,"0.76","100","0"
28,"1",1,16.3636363636364,16.7272727272727,"0.2","100","0"
28,"10",1,112.618181818182,53.4763636363636,"0.2","0","76"
28,"11",1,25.3636363636364,14.9272727272727,"0.2","100","0"
28,"12",1,109.509090909091,54.0981818181818,"0.2","0","76"
28,"13",1,24.9090909090909,15.0181818181818,"0.2","100","0"
28,"14",1,92.5818181818182,57.4836363636364,"0.2","0","76"
28,"15",1,53.4545454545455,9.30909090909091,"0.2","100","0"
28,"16",1,208.309090909091,34.3381818181818,"0.2","0","76"
28,"17",1,59.8181818181818,8.03636363636364,"0.2","100","0"
28,"18",1,256.327272727273,24.7345454545455,"0.2","0","76"
28,"19",1,75.8181818181818,4.83636363636364,"0.2","100","0"
28,"2",1,78.4181818181818,60.3163636363636,"0.2","0","76"
28,"20",1,378.618181818182,0.276363636363627,"0.2","0","76"
28,"3",1,21.0909090909091,15.7818181818182,"0.2","100","0"
28,"4",1,86.3636363636364,58.7272727272727,"0.2","0","76"
28,"5",1,15.2727272727273,16.9454545454545,"0.2","100","0"
28,"6",1,75.6545454545455,60.8690909090909,"0.2","0","76"
28,"7",1,22.7272727272727,15.4545454545455,"0.2","100","0"
28,"8",1,62.1818181818182,63.5636363636364,"0.2","0","76"
28,"9",1,23.2727272727273,15.3454545454545,"0.2","100","0"
29,"1",1,63.3181818181818,64.1931818181818,"1.75","100","0"
29,"10",1,18.3781818181818,43.8381818181818,"1.75","0","76"
29,"11",1,35.7954545454545,112.357954545455,"1.75","100","0"
29,"12",1,16.9272727272727,46.3772727272727,"1.75","0","76"
29,"13",1,38.1818181818182,108.181818181818,"1.75","100","0"
29,"14",1,12.8509090909091,53.5109090909091,"1.75","0","76"
29,"15",1,26.4090909090909,128.784090909091,"1.75","100","0"
29,"16",1,7.39272727272727,63.0627272727273,"1.75","0","76"
29,"17",1,16.2272727272727,146.602272727273,"1.75","100","0"
29,"18",1,0,76,"1.75","0","76"
29,"19",1,5.09090909090909,166.090909090909,"1.75","100","0"
29,"2",1,27.0145454545455,28.7245454545454,"1.75","0","76"
29,"20",1,0,76,"1.75","0","76"
29,"3",1,61.0909090909091,68.0909090909091,"1.75","100","0"
29,"4",1,25.9781818181818,30.5381818181818,"1.75","0","76"
29,"5",1,54.4090909090909,79.7840909090909,"1.75","100","0"
29,"6",1,23.1454545454545,35.4954545454545,"1.75","0","76"
29,"7",1,60.1363636363636,69.7613636363636,"1.75","100","0"
29,"8",1,22.2472727272727,37.0672727272727,"1.75","0","76"
29,"9",1,42.3181818181818,100.943181818182,"1.75","100","0"
3,"1",1,49.8181818181818,50.1818181818182,"1","100","0"
3,"10",1,49.8181818181818,50.1818181818182,"1","100","0"
3,"11",1,51.9090909090909,48.0909090909091,"1","100","0"
3,"12",1,47.9090909090909,52.0909090909091,"1","100","0"
3,"13",1,46.9090909090909,53.0909090909091,"1","100","0"
3,"14",1,45.4545454545455,54.5454545454545,"1","100","0"
3,"15",1,45.8181818181818,54.1818181818182,"1","100","0"
3,"16",1,49.9090909090909,50.0909090909091,"1","100","0"
3,"17",1,47.0909090909091,52.9090909090909,"1","100","0"
3,"18",1,53.2727272727273,46.7272727272727,"1","100","0"
3,"19",1,45.2727272727273,54.7272727272727,"1","100","0"
