"","Period","Sender","group_id","rp.confirm.round","datetime","Time","rp.confirm.y","rp.confirm.x","rp.round_started.price","rp.round_started.endowment.y","rp.round_started.endowment.x"
"143",56,6,2,6,"2016-04-15 15:59:13.983",1460761153982742528,23.6290909090909,58.8437180796731,0.89,76,0
"144",56,8,2,6,"2016-04-15 15:59:21.426",1460761161426087168,24.6654545454546,57.679264555669,0.89,76,0
"145",56,10,2,6,"2016-04-15 15:59:27.636",1460761167635707648,23.9054545454546,58.5331971399387,0.89,76,0
"146",56,12,2,6,"2016-04-15 15:58:07.840",1460761087839509248,48.2945454545455,48.6060606060606,0.57,76,0
"147",56,14,2,6,"2016-04-15 15:58:12.673",1460761092673377536,36.48,36,0.57,0,100
"148",56,16,2,6,"2016-04-15 15:58:31.111",1460761111110919424,36.3763636363636,36.1818181818182,0.57,0,100
"149",56,18,2,6,"2016-04-15 15:58:43.522",1460761123522472448,32.9563636363636,42.1818181818182,0.57,0,100
"150",56,20,2,6,"2016-04-15 15:58:52.449",1460761132448970752,40.4545454545455,54.5454545454545,0.89,0,100
"151",56,2,2,7,"2016-04-15 16:00:58.922",1460761258921803264,34.2690909090909,83.4618181818182,0.5,76,0
"152",56,4,2,7,"2016-04-15 16:01:08.535",1460761268534599168,33.7854545454545,44.9090909090909,0.94,76,0
"153",56,6,2,7,"2016-04-15 16:01:17.919",1460761277919392000,24.1818181818182,55.1257253384913,0.94,76,0
"154",56,8,2,7,"2016-04-15 16:01:27.283",1460761287283402240,18.8618181818182,60.7852998065764,0.94,76,0
"155",56,10,2,7,"2016-04-15 16:01:36.652",1460761296652380416,14.9236363636364,64.9748549323017,0.94,76,0
"156",56,12,2,7,"2016-04-15 16:00:04.216",1460761204215838976,50.92,50.16,0.5,76,0
"157",56,14,2,7,"2016-04-15 16:00:13.474",1460761213474139648,33.1818181818182,33.6363636363636,0.5,0,100
"158",56,16,2,7,"2016-04-15 16:00:28.365",1460761228365074432,31.8181818181818,36.3636363636364,0.5,0,100
"159",56,18,2,7,"2016-04-15 16:00:47.219",1460761247218735104,27.2727272727273,45.4545454545455,0.5,0,100
"160",56,20,2,7,"2016-04-15 16:00:54.136",1460761254136283392,43.24,54,0.94,0,100
"161",56,2,2,8,"2016-04-15 16:02:56.898",1460761376897753344,43.1127272727273,76.4820295983087,0.43,76,0
"162",56,4,2,8,"2016-04-15 16:03:04.046",1460761384045792512,29.0872727272727,46.9127272727273,1,76,0
"163",56,6,2,8,"2016-04-15 16:03:13.304",1460761393303928320,24.0436363636364,51.9563636363636,1,76,0
"164",56,8,2,8,"2016-04-15 16:03:22.186",1460761402185858816,19.9672727272727,56.0327272727273,1,76,0
"165",56,10,2,8,"2016-04-15 16:03:31.340",1460761411340460544,16.9963636363636,59.0036363636364,1,76,0
"166",56,12,2,8,"2016-04-15 16:02:12.505",1460761332504667392,52.9927272727273,53.5052854122622,0.43,76,0
"167",56,14,2,8,"2016-04-15 16:02:25.704",1460761345704362752,30.0218181818182,30.1818181818182,0.43,0,100
"168",56,16,2,8,"2016-04-15 16:02:41.805",1460761361805023488,27.9890909090909,34.9090909090909,0.43,0,100
"169",56,18,2,8,"2016-04-15 16:02:48.436",1460761368435553280,26.1127272727273,39.2727272727273,0.43,0,100
"170",56,20,2,8,"2016-04-15 16:02:53.480",1460761373479958784,41.6363636363636,58.3636363636364,1,0,100
"171",56,2,2,9,"2016-04-15 16:05:07.299",1460761507298828544,33.7163636363636,117.454545454545,0.36,76,0
"172",56,4,2,9,"2016-04-15 16:05:16.093",1460761516093359360,29.9343272727273,43.4581818181818,1.06,76,0
"173",56,6,2,9,"2016-04-15 16:05:25.656",1460761525655919360,23.4162909090909,49.6072727272727,1.06,76,0
"174",56,8,2,9,"2016-04-15 16:05:35.602",1460761535601811968,17.0447272727273,55.6181818181818,1.06,76,0
"175",56,10,2,9,"2016-04-15 16:05:43.589",1460761543589376768,21.2192,51.68,1.06,76,0
"176",56,12,2,9,"2016-04-15 16:04:27.670",1460761467670469376,55.8945454545455,55.8484848484848,0.36,76,0
"177",56,14,2,9,"2016-04-15 16:04:32.369",1460761472368740608,26.64,26,0.36,0,100
"178",56,16,2,9,"2016-04-15 16:04:43.644",1460761483644440576,26.3127272727273,26.9090909090909,0.36,0,100
"179",56,18,2,9,"2016-04-15 16:04:55.260",1460761495259505664,23.4327272727273,34.9090909090909,0.36,0,100
"180",56,20,2,9,"2016-04-15 16:05:02.256",1460761502255831296,45.9384727272727,56.6618181818182,1.06,0,100
